,cluster,#genes,genes
10,23,23,"LOC100006216, lye, LOC100334652, alas2, LOC557268, sox32, pou5f3, gsc, ripply2, calr3b, gid8b, lft2, cyp26a1, mespab, lamtor1, lft1, admp, ved, shisa2, LOC103909127, rbm38, lhx1a, jam2a"
11,15,33,"foxi3a, LOC793940, myl7, helt, rem2, si:xx-by187g17.1, gata1a, LOC101882859, LOC103910476, sst2, LOC101886565, LOC101885536, si:dkey-47k20.1, or106-5, stoml3b, LOC103911566, spryd7a, si:dkey-261e22.4, LOC100150584, LOC101885280, klhdc1, si:ch211-272h9.3, LOC101883587, b3gat2, si:ch73-7i4.2, si:dkey-251i10.2, LOC100332343, LOC101886928, zgc:66156, alox5b.2, LOC100148249, ankrd29, wu:fc46e01"
12,4,123,"LOC103911698, LOC100535592, eomesa, hsd17b12a, fam160a1, tspo, stard10, epcam, mid1ip1l, fam212aa, zgc:193711, elovl1a, mid2, tmem184a, prkcda, atp2a2a, sh3yl1, si:dkey-43p13.5, tspan15, rhpn2, rab32a, taok3a, cax1, b4galnt3b, arpp21, oclnb, gbp3, tbc1d30, si:ch1073-280h16.1, apopt1, mapre1a, aktip, elovl7a, nadka, chchd6a, gstp1, hsp90b1, enox2, cdc34a, ppap2cb, tpi1a, chmp4ba, gtf2a1, syvn1, saraf, tsc1a, si:dkey-206d17.12, crata, btr26, ctsz, snai2, ripk4, manf, spint1b, casp8, zgc:55262, tmprss4a, xpo6, sh3gl1a, tmem222b, neu3.2, mettl16, smim12, hdr, trappc6b, cbx8b, zgc:114130, mcu, cxcr4b, fkbp6, zgc:101744, rgs17, bag4, fam49bb, lztr1, stk38l, fam117ab, zgc:113070, dhrs13a.2, fam65c, acadl, tpcn2, tmem198b, kifc3, ttc13, pkma, zdhhc13, nudt8, tbc1d14, npc2, flna, eif2ak3, grk5l, rab35b, lrrc61, trim32, dnajc5ga, fbxw2, fam35a, zgc:172180, zgc:153929, hmgcs1, fam57ba, mknk1, zgc:123010, ssx2ip, ssx2ipa, si:dkey-21a6.5, use1, gkup, me3, daam1a, rab3il1, LOC559809, hps5, tgfbrap1, ly75, rnf13, smarca2, akap11, traf4b, znrf2a, LOC103909544"
13,19,29,"npb, vmhc, LOC100333762, LOC101885903, zgc:153911, yrk, soul2, LOC103910648, LOC103911186, LOC103910540, LOC799328, LOC101884113, mir23a-3, LOC100538070, LOC798181, LOC101886939, asb16, asprv1, lum, LOC100331557, LOC570106, kctd12.1, alp3, zgc:165519, LOC100329836, itgb1b.2, zgc:92249, LOC101885238, LOC100007585"
14,1,165,"ca15b, mkrn4, rbpms2b, acp5a, cldnd, zgc:113886, map1lc3c, tmem57a, ctssb.1, dab2, slc24a4a, birc5b, slc16a3, h1m, zgc:173742, LOC796580, txlng, erbb4b, si:dkey-7n6.2, si:ch1073-416j23.1, LOC100332229, LOC100536069, hsd3b7, lamp2, zgc:113424, elovl6l, josd1, fbxo32, LOC101884632, si:dkey-256h2.1, mtmr10, caprin2, zgc:162879, c1galt1a, scamp2l, hrasls, ssh3, lmnl3, LOC799656, tatdn2, asz1, chtopb, slc35a3b, col27a1a, si:ch211-147a11.3, buc, htatip2, dennd6b, LOC101883788, zfand5b, LOC100332626, senp6b, zgc:158852, si:dkey-165i8.3, slc7a14a, dennd2db, spdya, zgc:110788, zgc:56194, erap1b, tmem144b, zgc:162509, zgc:152977, wash1, st6galnac1.2, lrmp, pabpc1l, zgc:123172, si:dkey-199f5.8, map2k7, slc25a42, phlpp2, pho, rab11fip4b, LOC103908671, smim14, zgc:100951, zgc:152986, rrad, prrg4, arhgap4a, zgc:171731, phex, si:ch1073-157b13.1, armt1, hsbp1l1, rab6b, rffl, si:ch211-137a8.2, fbxo30b, bag5, fhdc3, zgc:66483, cd164, si:dkey-1b17.14, exd2, zgc:77828, dusp22a, pafah1b1b, ppifa, otud4, phka1, ankha, si:dkey-8l13.1, irs2a, zgc:162161, fbxo8, zgc:112399, LOC100536102, amacr, LOC100537720, ccdc69, si:rp71-46j2.3, arfgap3, map2k2a, parpbp, gid4, glipr2l, znf326, mpp7, hmha1b, LOC101883812, atxn7l2b, znf385c, si:ch211-122m3.1, kcns3b, lmo7b, tmem168b, acy3.1, ica1, LOC797914, orc6, LOC100151174, ppp1r15b, degs2, foxj3, lactb2, pik3cd, golga5, glis2a, tbp, sybu, galnt6, micall2a, pdik1l, sfxn3, rpusd1, bokb, lnx2b, tex2, rbm33b, usp11, LOC103911693, si:ch211-86k6.5, fjx1, si:ch211-202f5.3, ngef, si:dkey-23a23.2, cnbd1, rnf17, glulb, si:dkey-84k17.2, mapk9, podxl2, scn1a"
15,7,62,"nanog, LOC103909095, cth1, ccna1, wee2, tdrd7a, mt2, btg4, ppp4r4, ppp1r3da, slbp2, lsm14b, gdf3, map3k2, trim35-29, si:ch211-103b1.2, si:ch211-160j14.2, zglp1, zgc:111976, LOC100148757, si:ch211-157c3.4, tysnd1, LOC101884022, st8sia7.1, LOC100535691, oafa, zgc:153345, si:dkey-208k4.2, fam175b, chia.4, LOC101884614, zgc:165508, LOC100537703, wu:fd16e03, zgc:162969, sfr1, ctsba, LOC100334439, gdf9, LOC100334362, prkg1a, snx10a, si:ch73-52e5.1, LOC103908654, zgc:100911, si:dkey-21c1.4, bin1b, lrrc3, gna13a, zgc:163014, rgs14a, slc46a1, ubald2, mlycd, cyp11a1, taf5l, hid1b, LOC100331748, ranbp3a, det1, faah2b, si:dkey-77d17.6"
16,8,52,"cmlc1, nr2e3, havcr1, crygmx, filip1b, LOC101882201, si:dkey-5n18.1, LOC103911419, LOC101886161, LOC101882296, wapalb, rfesd, LOC103908804, zgc:171686, LOC101884237, LOC101882247, tecrl2b, rtn4rl2a, slc25a51a, zgc:66426, lrrc31, LOC101884305, ern1, LOC103911082, dnttip1, LOC103911525, LOC101886966, si:dkey-88n24.9, mespba, LOC101882142, LOC101885083, irf8, LOC100536487, LOC101885503, ankrd34c, si:ch211-81n22.1, cldn17, LOC101883456, LOC100536086, LOC103909937, si:dkey-102c8.3, si:ch211-119o8.4, LOC101884227, LOC100331884, zgc:92380, LOC101884335, taar1b, LOC103911040, LOC103911305, LOC103911426, LOC101882578, senp8"
17,12,43,"ns:zf-e68, krtt1c19e, cxcl14, LOC101886293, si:ch1073-340i21.3, krt96, si:ch73-23l24.1, si:rp71-81o21.2, zgc:162971, zgc:194551, LOC100003115, LOC101884933, si:dkey-49o11.1, anxa1a, si:dkey-192p21.6, ch25hl1.1, zgc:174688, tmed1a, LOC100329768, LOC103908967, si:ch211-248g20.1, LOC101882075, LOC103910577, si:ch211-203b20.7, mitfb, LOC560497, LOC103909950, dlat, LOC799204, zgc:173615, LOC100001113, sowahd, sult3st1, si:ch211-167j6.3, dnase2, akap14, LOC100537487, LOC103910833, si:ch211-284k5.2, zgc:175248, LOC101884955, LOC569661, LOC555631"
18,17,31,"ccdc15, aqp8a.1, LOC797571, LOC103908873, tph1a, agmat, mespbb, sdk1a, si:ch73-233m11.2, si:ch211-215c18.4, them4, syt15, si:dkeyp-98a7.7, prkaa2, si:dkey-171o17.8, metap2a, gbgt1l1, zgc:158847, foxq2, pnpla8, LOC101883302, mcoln2, zgc:112492, nsun6, LOC103911039, prkag3a, zgc:153760, LOC101883749, tefb, zgc:153681, si:dkey-71d15.3"
19,11,45,"uchl1, elovl7b, cldng, wu:fd44f11, zgc:64022, osbpl7, zgc:77112, bmp15, siva1, pias4b, sel1l3, LOC100332150, cyp2r1, si:ch73-93k15.2, galk1, vgll4l, ankrd22, si:dkey-226m8.9, map7, LOC101884814, LOC100332351, mapk1, fam46ba, slmapb, lhx8a, zgc:195170, phf11, cab39l1, nudt6, stx11a, fam46c, zgc:110182, tbc1d16, fam101b, LOC101882294, lpcat4, si:dkey-87o1.2, mcfd2, sun1, zgc:153258, si:ch211-102c2.7, zgc:101562, LOC100150205, sh2d5, sgta"
20,22,24,"si:dkey-175g6.2, slit1b, xrcc2, zgc:92511, LOC100334908, LOC564674, LOC103910573, LOC101882917, LOC571582, LOC101886834, zgc:195075, zc2hc1c, LOC103908893, LOC101885270, LOC103911605, gchfr, mir489, LOC100005614, LOC101884260, col9a1a, gcnt4b, si:ch211-116m6.4, LOC103911621, cul5b"
21,6,73,"LOC565781, mal, mrc1a, sv2bb, cx30.3, trim62, si:dkey-248g15.3, si:dkey-193p11.2, ccl34a.4, pcyox1, slc22a7a, LOC103909716, LOC101883021, LOC103911139, galnt12, LOC797190, LOC103908633, LOC560530, slc2a15b, LOC101883311, dicp3.3, si:dkey-59k9.3, pi15a, zgc:77358, LOC103908665, foxj1a, stk10, LOC100331690, LOC100535129, LOC100333044, colec10, LOC103911496, LOC103910975, LOC103910599, st6gal1, si:ch211-24o10.10, LOC103911343, LOC100330288, si:dkey-78l4.6, zgc:165604, ubxn2a, si:ch211-125g7.4, zgc:163143, LOC103911580, taar12g, si:dkey-46g23.5, abhd13, rbp4l, osbpl2b, LOC101882628, si:ch211-222k6.2, LOC103911333, cdyl, si:busm1-sl7.2, fip1l1a, prg4b, si:dkeyp-73d8.9, abcd3b, ssuh2.4, si:ch211-215m21.17, ext1b, rgs6, LOC101885599, LOC103911017, LOC103910923, mdh1b, LOC103909080, pitpnc1, LOC795793, LOC103910701, LOC569077, si:rp71-1g18.13, si:dkey-263f15.2"
22,18,29,"LOC100333154, tnni1b, LOC100006250, pdp1, LOC101886910, LOC100331859, LOC101884084, oxr1a, LOC101886572, aqp3b, LOC101882591, s100a11, LOC101884042, ms4a17a.10, zgc:163057, pebp4, slc25a38a, LOC101883418, LOC103910942, si:rp71-1h3.1, LOC101882497, btr25, LOC101884668, LOC103910728, si:ch73-186j5.2, zgc:173729, zgc:172116, si:dkey-14d8.1, LOC101885783"
